Land;Statistische Kennziffer;Kreisfreie Stadt bzw. Stadtkreis, Landkreis bzw. Kreis;Wahlberechtigte;Wähler;Ungültige;Gültige;SPD;CDU;FDP;DIE LINKE;GRÜNE;CSU;NPD;REP;FAMILIE;Die Tierschutzpartei;PBC;MLPD;BüSo;BP;Volksabstimmung;ZENTRUM;ADM;DKP;DIE VIOLETTEN;ödp;PIRATEN;RRP;Freie Union;Übrige;Ungültige;Gültige;SPD;CDU;FDP;DIE LINKE;GRÜNE;CSU;NPD;REP;FAMILIE;Die Tierschutzpartei;PBC;MLPD;BüSo;BP;PSG;Volksabstimmung;ZENTRUM;ADM;CM;DKP;DVU;DIE VIOLETTEN;FWD;ödp;PIRATEN;RRP;RENTNER
;;;;;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen
NI;03455;Friesland;80130;57981;1056;56925;23938;17908;5653;4445;4197;0;784;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;785;57196;18176;16400;8853;5168;5721;0;648;0;0;581;0;31;0;0;0;0;0;0;0;0;49;0;0;60;991;518;0
NI;03456;Grafschaft Bentheim;96302;71063;737;70326;23522;33666;5122;3659;3833;0;524;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;629;70434;20030;29378;9627;4238;5082;0;462;0;0;370;0;11;0;0;0;0;0;0;0;0;27;0;0;87;908;214;0
NI;03457;Leer;127222;89785;1530;88255;31995;33934;5861;7888;7374;0;1203;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1339;88446;30722;27051;9539;9341;7579;0;1104;0;0;709;0;17;0;0;0;0;0;0;0;0;93;0;0;232;1701;358;0
NI;03458;Oldenburg;97811;73138;736;72402;22409;27703;8473;5235;7122;0;918;0;0;0;0;0;0;0;0;0;0;0;0;0;0;542;0;0;686;72452;18644;23513;12153;6180;8313;0;796;0;0;682;0;23;0;0;0;0;0;0;0;0;64;0;0;92;1360;632;0
NI;03459;Osnabrück;271317;202204;2311;199893;63898;87793;18816;12517;14921;0;1784;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;164;1851;200353;53147;77925;28986;14332;18759;0;1616;0;0;1198;0;31;0;0;0;0;0;0;0;0;150;0;0;265;3313;631;0
NI;03460;Vechta;97064;70489;759;69730;12827;44216;6005;2974;3119;0;589;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;613;69876;11152;38306;11348;3148;3922;0;511;0;0;350;0;14;0;0;0;0;0;0;0;0;29;0;0;58;877;161;0
NI;03461;Wesermarsch;71111;49650;644;49006;20047;15698;4543;4206;3714;0;528;0;0;0;0;0;0;0;0;0;0;0;0;0;0;270;0;0;628;49022;16263;14833;6326;4923;4627;0;484;0;0;348;0;19;0;0;0;0;0;0;0;0;39;0;0;44;746;370;0
NI;03462;Wittmund;45617;30890;542;30348;11962;10655;3063;2410;1847;0;411;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;451;30439;9480;9891;4528;2730;2469;0;372;0;0;264;0;8;0;0;0;0;0;0;0;0;23;0;0;19;494;161;0
HB;04011;Bremen, Stadt;402884;287625;4177;283448;100535;77172;20397;35466;43482;0;3766;0;0;0;0;343;0;0;0;0;0;0;0;0;0;1039;0;1248;3389;284236;84806;67389;30414;40380;45920;0;3014;496;0;0;692;190;0;0;0;0;0;0;0;0;706;0;0;0;6947;3282;0
HB;04012;Bremerhaven, Stadt;85094;55402;1071;54331;20932;15269;4040;7407;5067;0;860;0;0;0;0;0;0;0;0;0;0;0;0;0;0;524;0;232;1027;54375;17613;13575;5554;7989;6363;0;598;81;0;0;163;26;0;0;0;0;0;0;0;0;324;0;0;0;1227;862;0
NW;05111;Düsseldorf, Stadt;414125;294423;3276;291147;89420;118982;27230;23214;29031;0;2864;0;0;0;0;406;0;0;0;0;0;0;0;0;0;0;0;0;2542;291881;70498;93653;52251;25206;36864;0;1704;1736;916;1717;0;135;66;0;51;233;179;0;0;0;110;0;0;212;5053;363;934
