(c) Die Bundeswahlleiterin, Wiesbaden 2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bundestagswahl 2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amtliches Endergebnis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr;Gebiet;gehört zu;Wahlberechtigte;;;;Wählende;;;;Ungültige Stimmen;;;;Gültige Stimmen;;;;Sozialdemokratische Partei Deutschlands;;;;Christlich Demokratische Union Deutschlands;;;;BÜNDNIS 90/DIE GRÜNEN;;;;Freie Demokratische Partei;;;;Alternative für Deutschland;;;;Christlich-Soziale Union in Bayern e.V.;;;;Die Linke;;;;FREIE WÄHLER;;;;PARTEI MENSCH UMWELT TIERSCHUTZ;;;;Basisdemokratische Partei Deutschland;;;;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;;;;Die Gerechtigkeitspartei – Team Todenhöfer;;;;Piratenpartei Deutschland;;;;Volt Deutschland;;;;Ökologisch-Demokratische Partei - Die Naturschutzpartei;;;;Südschleswigscher Wählerverband;;;;Partei für Verjüngungsforschung;;;;Partei der Humanisten - Fakten, Freiheit, Fortschritt;;;;Bündnis C - Christen für Deutschland;;;;Bayernpartei;;;;Marxistisch-Leninistische Partei Deutschlands;;;;Menschliche Welt - für das Wohl und Glücklichsein aller;;;;Partei des Fortschritts;;;;Sozialistische Gleichheitspartei, Vierte Internationale;;;;Bürgerrechtsbewegung Solidarität;;;;BÜNDNIS DEUTSCHLAND;;;;Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit;;;;MERA25 - Gemeinsam für Europäische Unabhängigkeit;;;;WerteUnion;;;;Übrige;;;
192;Erfurt – Weimar – Weimarer Land II;916;214387;217944;214387;217944;175940;166604;175940;166604;1073;1942;1095;1606;174867;164662;174845;164998;13900;40185;18407;39378;28587;28639;30714;23580;5458;19483;15313;21831;3350;12309;5035;15504;46612;27235;46999;26803;;;;;64390;26972;38667;23055;1918;;1760;2162;;;;2777;;4258;;3048;;4932;;2650;;;;465;;;;1203;;;1593;737;;;;298;;;;;;;;;;;;236;;;;;;;;;353;649;276;345;;;;438;;;;;;;;;;;;;;;395;;10299;;15686;;;;;;;;;;;0;;488
193;Gera – Greiz – Altenburger Land;916;220281;229588;220281;229588;173700;168147;173700;168147;1422;2517;1339;2104;172278;165630;172361;166043;18698;36760;13622;36326;34406;33067;30630;27303;3323;6293;4924;7331;3918;14273;5136;16212;77161;48034;74761;46659;;;;;20441;19421;22450;18666;3416;;2276;2433;;;;2903;;2887;;2727;;;;1970;;;;355;;;;706;;;721;369;;;;154;;;;;;;;;;;;176;;;;;;;;;;772;209;475;;;;594;;;;;;;;;;;;;;;567;;10915;;17065;;;;;;;;;;;4123;;684
194;Saalfeld-Rudolstadt – Saale-Holzland-Kreis – Saale-Orla-Kreis;916;211519;219437;211519;219437;172602;166531;172602;166531;1268;2037;1161;1908;171334;164494;171441;164623;14261;30791;12907;35019;35224;34489;30756;27008;4340;6292;5056;7383;3835;12343;4811;15428;76204;48177;73577;46381;;;;;21114;19968;23079;18489;3941;5143;2824;4079;;;;2510;;2852;;2668;;3526;;2283;;;;374;;;;645;;;772;388;;451;;293;;;;;;;;;;;;152;;;;;;;;;;462;176;338;;;;493;;;;;;;;;;;;;;;470;;12415;;17013;;;;;;;;;;;0;;692
195;Suhl – Schmalkalden-Meiningen – Hildburghausen – Sonneberg;916;220067;230071;220067;230071;176212;171108;176212;171108;1352;2146;1229;1983;174860;168962;174983;169125;18315;56791;14605;42446;33940;37729;30595;27923;2829;3615;4334;7221;4205;10686;4547;13990;73608;35887;75406;44572;;;;;18445;14135;21952;18486;6140;4897;4460;4247;;;;2232;;;;2508;;2247;;1859;;;;231;;1313;;1078;;;632;264;;848;;547;;;;;;;;;;;;136;;;;;;;;;312;443;256;353;;;;416;;;;;;;;;;;;;;;438;;14697;;17758;;;;;;;;;;2369;371;;616
916;Thüringen;999;1652462;1707726;1652462;1707726;1333474;1279720;1333474;1279720;10248;16639;9314;14809;1323226;1263081;1324160;1264911;131842;299024;115915;296446;272827;264026;246065;213414;36822;68185;56097;83220;28121;89008;37292;114283;512070;298971;510527;303233;;;;;209947;155618;200688;144693;25831;31190;20621;27151;;;;18973;;19932;;20189;;22882;;16013;;;;2501;;1313;;6291;;;6998;3566;;2715;;2456;;;;;;;;;;;;1357;;;;;;;;;1678;3875;1743;2570;;;;3400;;;;;;;;;;;;;;;3454;;96975;;124760;;;;;;;;;;7113;6342;;5155
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
196;Neuwied;907;236097;238118;236097;238118;194324;181837;194324;181837;1931;2058;1220;1544;192393;179779;193104;180293;42314;54320;35679;54018;68501;57430;62296;48338;11921;16559;15674;18930;6858;15931;8488;20751;40365;16810;41999;17504;;;;;9689;5005;11695;5417;4345;8032;3234;5860;;;2374;2546;;2177;;2286;;2776;899;1746;;;;692;;;;701;1955;;1178;540;;;239;245;;;;;;;;;;;;153;;;;;;;;;;;52;31;;;;;;;;;;;;;;;;;;;280;;6445;;9017;;;;;;;;;;;739;;535
197;Ahrweiler;907;191196;195109;191196;195109;159650;148466;159650;148466;1701;1861;962;1379;157949;146605;158688;147087;30537;44325;28429;42303;62011;50281;55289;41942;14413;15553;15725;17685;5283;12124;7563;17484;28335;10823;29074;11322;;;;;8220;3537;9070;3851;5584;6942;3170;4908;;;1769;2021;;1878;;1613;;;685;1208;;;;609;;;;673;2015;;1106;557;831;686;332;331;;;;;;;;;;;;116;;;;;;;;;;;33;26;;;;;;;;;;;;;;;;;720;;306;;;;6137;;;;;;;;;;;456;;438
198;Koblenz;907;189667;193035;189667;193035;155931;147127;155931;147127;1639;1815;980;1224;154292;145312;154951;145903;37659;43416;30233;42817;55097;46073;48758;37958;15001;17980;18026;21007;4703;11179;7405;16371;24836;9753;25417;10426;;;;;9028;4054;11900;4804;5858;7028;2959;4928;;;1673;1818;;1758;;1497;;2354;803;1401;;;;598;;;;725;2110;694;1121;642;;614;208;319;;;;;;;;;;;;137;;;;;;;;;;;62;26;;;;;;;;;;;;;;;;;;;189;;;;6197;;;;;;;;;;;409;;429
199;Mosel/Rhein-Hunsrück;907;168705;171102;168705;171102;142248;134717;142248;134717;2063;2348;1025;1455;140185;132369;141223;133262;27079;35570;25144;38015;53505;45364;49310;38664;10039;12833;10918;12230;7588;15664;7521;16664;27060;10646;27721;11061;;;;;6494;;7408;3725;6009;7609;3669;5820;;;1710;1845;;2334;;1770;;;685;1099;;;;237;;;;506;1282;1124;854;751;1129;976;414;374;;;;;;;;;;;;95;;;;;;;;;;;21;19;;;;;;;;;;;;;;;;;;;254;;;;5594;;;;;;;;;;;249;;387
200;Kreuznach;907;179523;182380;179523;182380;146442;138109;146442;138109;1506;2008;988;1451;144936;136101;145454;136658;38082;44976;29492;44259;46768;39589;44076;33433;7765;9958;11570;12903;4714;9753;6425;15704;30688;12972;32452;13510;;;;;6352;4294;8584;4454;4404;7648;2712;4616;;;1816;2054;;1997;;1930;;1837;621;1182;;;;339;;;;497;1441;771;999;608;;1718;202;537;;;;;;;;;;;;115;;;;;;;;;;;33;30;;;;;;;;;;;;;;;;;;;181;;4722;;6291;;;;;;;;;;;588;;487
201;Bitburg;907;161542;163493;161542;163493;134533;124449;134533;124449;1558;1852;917;1395;132975;122597;133616;123054;27098;33632;22635;34343;53459;46340;48897;37086;7362;8512;10070;11411;4155;9011;6041;13997;22265;7947;23936;8794;;;;;4893;2875;6626;3265;11825;10566;7030;8460;;;1479;1473;;1436;;1434;;1619;580;1038;;;;234;;;;364;1918;;870;409;;659;262;356;;;;;;;;;;;;80;;;;;;;;;;;16;12;;;;;;;;;;;;;;;;;;;191;;;;4983;;;;;;;;;;;0;;298
202;Trier;907;187569;190530;187569;190530;156721;147171;156721;147171;1422;1738;912;1540;155299;145433;155809;145631;46951;47942;31092;44123;47826;40299;47830;34578;12843;18939;19020;22708;6148;10135;7256;16206;22088;8230;24079;9001;;;;;7791;5126;11983;5712;4125;7521;3192;5379;;;1714;2003;;1730;;1678;;2174;821;1507;;;;343;;;;538;1558;967;1434;859;618;657;311;363;;;;;;;;;;;;179;;;;;;;;;;;37;30;;;;;;;;;;;;;;;;;;;199;;5351;;6841;;;;;;;;;;;1713;;424
203;Montabaur;907;209443;210816;209443;210816;174499;164165;174499;164165;2175;2172;1383;1454;172324;161993;173116;162711;40294;50975;31397;49346;61574;48607;56239;43125;10832;14176;14652;16832;5462;15101;7971;19021;35321;14090;36380;14565;;;;;8709;4483;10346;4690;5923;8954;3777;6432;4209;;2477;2424;;2384;;2100;;2887;824;1657;;;;539;;;;588;;;1144;504;;;210;223;;;;;;;;;;;;138;;;;;;;;;;;29;24;;;;;;;;;;;;;;;;;;;303;;;;7367;;;;;;;;;;;336;;503
204;Mainz;907;251074;249630;251074;249630;214618;202670;214618;202670;1926;2669;1385;1382;212692;200001;213233;201288;50411;49878;39496;53889;57966;47153;56648;42659;40617;37319;44047;46183;8024;14408;10914;23178;21665;10360;23043;10833;;;;;19474;24863;23601;9418;3013;4751;2046;3605;;;1772;2025;;2093;;1979;1440;1841;974;1600;;;;1255;;1118;;970;4086;2133;2769;1741;1033;1444;648;1029;;;;;;;;;;486;;320;;;;;;;;;;;50;38;;;;;;;;;;;;;;;;;;;181;;4963;;7044;;;;;;;;;;;2154;;566
205;Worms;907;211986;212943;211986;212943;178184;166636;178184;166636;1929;2491;1482;1814;176255;164145;176702;164822;39042;49748;33740;49656;62290;52827;50920;37548;13996;15949;18870;20799;5171;12966;8242;20095;35866;16043;38744;17033;;;;;8638;5070;11218;5068;3857;5762;2888;4749;;;2282;2612;;3134;;2302;;;789;1214;;;;627;;;;890;2392;1367;1524;926;;726;253;456;;;;;;;;;;;;186;;;;;;;;;;;37;35;;;;;;;;;;;;;;;;;;;249;;4401;;6946;;;;;;;;;;602;553;;626
206;Ludwigshafen/Frankenthal;907;205998;210969;205998;210969;163099;154911;163099;154911;2068;2122;1433;1653;161031;152789;161666;153258;42213;50108;31398;45895;43627;38193;44479;33726;12367;17061;14379;18128;5737;13688;7098;18421;37117;17740;37871;18075;;;;;7794;4648;11037;4651;4621;7411;2871;4789;;;2198;2771;;1947;;1689;;;790;1308;;;;1275;;;;658;1481;;1029;747;;;180;226;;;;;;;;;;;;160;;;;;;;;;;157;45;68;;;;;;;;;;;;;;;;;629;;412;;5445;;7879;;;;;;;;;;;1836;;671
207;Neustadt – Speyer;907;216200;219416;216200;219416;182125;173828;182125;173828;1703;2178;1242;1506;180422;171650;180883;172322;39569;48158;32786;47121;62590;51770;54912;41322;16914;20869;21357;23949;5582;14624;8798;21823;35237;17204;36876;17499;;;;;7122;4535;10079;4880;4894;9698;3500;6380;;;2259;2576;;2722;;2413;;;713;1232;;;;512;;;;577;2511;1268;1655;937;;;221;324;;;;;;;;;;;;178;;;;;;;;;;;28;26;;;;;;;;;;;;;;;;;507;;338;;5496;;7361;;;;;;;;;;;802;;573
208;Kaiserslautern;907;219842;224701;219842;224701;179205;169206;179205;169206;2320;2409;1558;1742;176885;166797;177647;167464;49464;56523;36503;54460;42591;35803;44232;33226;10099;14589;14623;17611;5138;11870;6975;17242;45160;20002;45951;20702;;;;;7396;6753;10771;6383;7385;12225;4699;8042;;3197;2646;3168;;2159;;2055;;2154;795;1641;;;;432;;;;695;1576;801;992;685;;;233;253;;;;;;;;;;;;171;;;;;;;;;;;56;36;;;;;;;;;;;;;;;;;448;;321;;7628;;8850;;;;;;;;;;;721;;662
209;Pirmasens;907;169645;174093;169645;174093;139067;132470;139067;132470;1840;2004;1380;1747;137227;130466;137687;130723;28474;39711;23976;38261;45682;39236;41658;33507;6112;7891;8138;9877;4078;9895;5666;14374;34424;16512;37286;17178;;;;;4924;3678;6594;4207;4632;5990;2903;4935;3840;3271;2888;3325;;1654;;1584;;1999;636;1496;;;;221;;;;489;;466;607;425;;;150;154;;;;;;;;;;;;105;;;;;;;;;;;31;30;;;;;;;;;;;;;;;;;234;;249;;4827;;6905;;;;;;;;;;;163;;555
210;Südpfalz;907;215995;217000;215995;217000;179902;171259;179902;171259;1716;1627;1323;1583;178186;169632;178579;169676;34274;47901;30705;47028;68124;47860;55079;39421;13799;19058;19800;22882;4686;17011;7684;21120;35587;16658;37866;17702;;;;;7114;5222;10955;5598;4097;6388;3363;5493;3060;3019;2485;3098;;2388;;2389;;1923;839;1515;;;;665;;;;659;2084;829;1564;779;;582;276;471;;;;;;;;;;;;151;;;;;;;;;;;41;38;;;;;;;;;;;;;;;;;;;231;;5361;;7691;;;;;;;;;;;793;;667
907;Rheinland-Pfalz;999;3014482;3053335;3014482;3053335;2500548;2357021;2500548;2357021;27497;31352;18190;22869;2473051;2325669;2482358;2334152;573461;697183;462705;685534;831611;686825;760623;576533;204080;247246;256869;293135;83327;193360;114047;272451;476014;205790;498695;215205;;;;;123638;84143;161867;76123;80572;116525;52013;84396;11109;9487;31542;35759;;31791;;28719;1440;21564;11454;20844;;;;8578;;1118;;9530;26409;10420;18846;11110;3611;8062;4139;5661;;;;;;;;;;486;;2284;;;;;;;;;;157;571;469;;;;;;;;;;;;;;;;;2538;;3884;;54639;;105103;;;;;;;;;;602;11512;;7821
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
211;Altötting;909;168462;168656;168462;168656;137701;129441;137701;129441;734;880;451;681;136967;128561;137250;128760;11870;14620;11493;18309;;;;;10399;11145;10712;12248;3994;9245;4887;13298;32269;14220;33186;13940;60164;55693;54392;44060;5867;3155;6212;2769;8637;13049;7504;14857;;;1053;1396;1580;3509;800;3003;;;501;872;;;;334;;;;389;;;550;196;2187;2509;843;1302;;;;;;;;165;;;88;94;;;;55;;1416;339;881;;;28;19;;;;;;;;;;;;;;;;;;;101;;;;4561;;;;;;;;;;;0;;573
212;Erding – Ebersberg;909;201029;200569;201029;200569;175164;168337;175164;168337;721;1132;433;734;174443;167205;174731;167603;17609;24205;17632;25693;;;;;23383;24840;22730;24620;6324;13226;8821;20228;27275;11448;28847;12228;80087;70656;70010;55992;6856;3355;8826;3648;7059;12157;7524;13865;;;1416;1900;;2958;600;2857;;;695;1279;;;;481;;;;534;2012;;1220;412;2472;2306;1029;1342;;;;;;;;173;;;128;151;;;;92;;2054;371;1350;;;31;22;;;;;;;;;;;;;;;;;;;142;;;;4709;;;;;;;;;;1366;0;;736
213;Freising;909;238829;237250;238829;237250;204980;194002;204980;194002;913;1237;551;883;204067;192765;204429;193119;23356;25950;20233;29085;;;;;25718;24058;23750;26055;5803;14687;8903;21738;36965;18042;38983;17515;88025;69689;78622;62930;8630;3898;10652;4456;13208;23223;11034;18779;;;1655;1881;2362;4795;951;3388;;2165;868;1385;;;;781;;;;554;;631;1194;543;;3039;1030;1449;;;;;;;;218;;;177;185;;;;86;;1678;369;1068;;;37;19;;;;;;;;;;;;;;;;;;;135;;;;5836;;;;;;;;;;;910;;1004
214;Fürstenfeldbruck;909;230710;231905;230710;231905;199398;192779;199398;192779;799;1489;501;927;198599;191290;198897;191852;29795;36831;23133;31141;;;;;23886;25363;27778;30537;8748;16029;10015;23046;27997;13056;29818;13209;84651;72721;78930;63944;7313;3216;10605;4192;8829;13085;6925;12325;2869;;1638;2388;;5075;649;4102;;2384;783;1274;;;;631;;;;683;2541;1408;1706;863;1970;2122;926;1359;;;;;;;;230;;;148;178;;;;90;;;328;795;;;24;16;;;;;;;;;;;;;;;;;;;150;;;;5341;;;;;;;;;;;0;;849
215;Ingolstadt;909;237848;238384;237848;238384;195987;187395;195987;187395;900;1167;646;856;195087;186228;195341;186539;21556;25954;19813;31592;;;;;14531;18182;18026;20833;3711;10877;7349;19797;39220;17806;41843;18694;91839;83663;78649;64577;7731;4648;9258;4450;9909;15515;9145;15580;2003;;1410;1652;;2969;652;2890;1386;2315;869;1295;;;;643;;;;533;1574;;1034;362;1627;2438;824;1231;;;;;;;;216;;;114;142;;;;98;;1861;302;1111;;;30;31;;;;;;;;;;;;;;;;;;;131;;;;5892;;;;;;;;;;;0;;812
216;München-Nord;909;223701;223683;223701;223683;185631;175551;185631;175551;976;880;484;649;184655;174671;185147;174902;36495;38172;28469;33241;;;;;44708;42319;42291;44861;8536;19477;12394;25953;16684;7591;17688;8250;59875;44854;53509;39986;12123;6216;16785;7044;2700;3969;2195;4396;;2072;1185;1504;;2540;401;2216;;1562;779;1157;;;;1603;;;;488;3010;2410;2285;1555;;1862;563;1143;;;;;;;;141;;;169;218;;;;60;;563;150;409;;60;41;35;;;;;;;;;;;;;;41;;;524;;168;;;;6075;;;;;;;;;;;963;;642
217;München-Ost;909;243744;242591;243744;242591;205040;193958;205040;193958;1037;906;547;687;204003;193052;204493;193271;31546;38243;30960;36106;;;;;49442;42367;45045;47647;8278;18104;12837;27112;18451;8066;19694;8978;74027;61159;63562;49286;12477;4907;17152;7080;3649;5041;2490;5052;;2501;1315;1762;;2432;437;2450;2052;1714;842;1248;;2526;;1724;;;;654;4081;1630;2282;1252;;1930;744;1289;;;;;;;;148;;;183;201;;152;;100;;579;208;473;;;46;35;;;;;;;;;;;;;;51;;;;;134;;;;6562;;;;;;;;;;;1650;;674
218;München-Süd;909;214947;214606;214947;214606;181255;172970;181255;172970;623;841;446;599;180632;172129;180809;172371;26461;33924;28049;33117;;;;;53775;47256;43538;45562;7171;16437;10063;21495;15876;7641;16782;7910;54859;46059;51867;40585;9825;6236;16897;7669;2364;4464;2095;4724;1646;2610;1326;1711;;2668;392;2388;1172;2060;805;1299;;;;1000;;;;608;2787;;2273;1497;;2532;654;1306;;;;;;;;145;;;173;172;;;;83;;;153;357;103;109;53;44;;;;;;;;;;;;;;133;;;;;104;;4593;;5585;;;;;;;;;;;0;;699
219;München-West/Mitte;909;246574;242252;246574;242252;210862;198272;210862;198272;2726;955;395;647;208136;197317;210467;197625;33018;39182;32311;37513;;;;;60243;53174;52707;54303;10329;19153;12553;26401;;7594;18822;8403;72200;53311;60504;45540;12683;6975;18671;8219;6366;5058;2462;5036;3681;3096;1234;1796;;3059;407;2655;2248;1804;861;1403;;;;1161;;;;614;4401;2144;2530;1571;;1557;744;1353;;;;;;;;158;;;171;196;;;;83;;;161;394;;;45;34;;;;;;;;;;;;;;72;;;1675;;162;;;;6122;;;;;;;;;;1292;1138;;792
220;München-Land;909;234884;234912;234884;234912;205548;199333;205548;199333;779;1041;439;723;204769;198292;205109;198610;27306;30237;26648;34189;;;;;40045;40475;35344;36817;8786;18180;12985;28696;22924;9816;24076;10489;88204;77523;80091;64669;8428;3685;10310;4449;6071;7791;4271;7612;3005;2555;1666;2054;;2880;520;2805;;1928;771;1254;;;;808;;;;659;;;1822;910;;2086;766;1332;;;;;;;;173;;;161;196;;;;87;;1136;240;719;;;25;29;;;;;;;;;;;;;;;;;;;147;;;;5266;;;;;;;;;;;0;;663
221;Rosenheim;909;238910;237390;238910;237390;201583;191410;201583;191410;894;1346;598;849;200689;190064;200985;190561;17916;22869;19272;27406;;;;;25196;26183;25026;25962;5724;17682;9374;23049;36813;15764;39378;16570;82023;68670;75533;59126;9152;4091;10140;4607;16037;16869;9473;18261;2711;;1712;1882;2341;9069;1246;6075;;2466;816;1385;;;;488;;;;566;1893;;1008;486;;3698;1001;1633;;;;;;;;198;350;;173;162;;;;129;;2584;481;1737;;;31;17;;;;;;;;;;;;;;119;;;533;;231;;;;6090;;;;;;;;;;;0;;822
222;Bad Tölz-Wolfratshausen – Miesbach;909;165895;166662;165895;166662;141799;136106;141799;136106;653;1765;397;750;141146;134341;141402;135356;10901;15428;12829;18276;;;;;20820;20829;17585;18138;4754;11636;7506;17048;23291;;24274;10835;65481;55501;59236;46304;4694;2643;5716;2908;7226;14146;6312;12531;;;934;1265;;5140;506;2996;;1949;541;918;;;;323;;;;398;1107;;774;308;1270;2077;597;1076;;;;;;;;129;;;62;100;;;;49;1602;4992;540;1197;;;21;26;;;;;;;;;;;;;;;;;;;103;;;;3866;;;;;;;;;;;0;;531
223;Starnberg – Landsberg am Lech;909;215624;214828;215624;214828;188310;180978;188310;180978;764;1158;547;714;187546;179820;187763;180264;24177;23985;21606;28584;;;;;31311;35809;31526;32663;6665;16585;10969;23893;24187;10715;25308;11066;80441;68617;72641;57906;6449;3701;9716;4446;6051;9035;5138;9026;2430;;1456;1775;1520;5365;771;4505;1499;2333;875;1299;;;;442;;;;600;2118;982;1262;688;;1972;762;1293;;;;;;;;199;;;131;128;;;;118;698;;431;847;;;25;12;;;;;;;;;;;;;;;;;;;115;;;;5031;;;;;;;;;;;721;;774
224;Traunstein;909;209020;208815;209020;208815;172572;163876;172572;163876;822;1282;548;817;171750;162594;172024;163059;20845;27644;16925;25190;;;;;14985;17219;17677;19985;3270;12268;5891;15747;30994;12671;34619;14027;80507;59555;66829;51421;6884;3537;7514;3943;10690;18572;11218;21369;;;1450;1619;1796;4115;979;3699;;1857;668;1121;;;;243;;;;413;;;661;265;1779;2372;1002;1417;;;;;;;;149;;;86;112;;;;135;;2160;437;1448;;;28;18;;;;;;;;;;;;;;;;;;;134;;;;5906;;;;;;;;;;;624;;738
225;Weilheim;909;168111;168473;168111;168473;143698;138039;143698;138039;782;1444;368;879;142916;136595;143330;137160;13489;19682;13888;19927;;;;;18128;16300;17099;18397;6356;8553;6760;14311;22169;9686;24239;10873;65409;57179;59686;48178;5698;2718;6870;3124;7936;10100;6334;11462;;;1012;1316;;4301;588;3717;;;663;905;;;;296;;;;375;1400;500;692;339;2331;4205;967;1737;;;;;;;;136;;;82;83;;;;85;;2405;301;1229;;;15;15;;;;;;;;;;;;;;;;;;;102;;;;4032;;;;;;;;;;;966;;655
226;Deggendorf;909;165283;166186;165283;166186;135485;127193;135485;127193;675;691;348;549;134810;126502;135137;126644;12156;19527;10913;19873;;;;;6354;6890;6856;8516;5188;6325;4283;10778;36406;17432;39530;17911;58347;47267;51953;42154;3070;1895;4178;2301;11370;19718;10575;18206;;;764;1059;;1870;284;1599;;905;278;646;;;;175;;459;;333;820;;400;100;;1144;508;750;;;;;;;;90;;;47;63;;;;48;1099;2660;474;1516;;;13;12;;;;;;;;;;;;;;;;;;;89;;;;3992;;;;;;;;;;;410;;514
227;Landshut;909;247907;246854;247907;246854;208132;195589;208132;195589;828;1639;585;823;207304;193950;207547;194766;18800;22468;19631;30931;;;;;17125;21811;18053;20087;6437;22774;7736;20204;42123;19184;46429;19973;70986;70685;75202;64383;7562;3955;9605;4186;38342;20072;19255;23747;2093;3615;1569;2257;;2796;595;2737;;;692;1060;;;;458;;;;559;1072;;830;290;1892;2888;1085;1425;;;;;;;;209;;;128;129;;;;99;872;2241;463;1237;;;33;17;;;;;;;;;;;;;;;;;;;144;;;;6097;;;;;;;;;;;1461;;778
228;Passau;909;176118;177563;176118;177563;144115;136625;144115;136625;595;1145;403;573;143520;135480;143712;136052;20121;28341;13904;23892;;;;;7425;12098;9821;12645;3072;10513;4706;12782;33776;16215;36668;16023;58538;41530;55447;44215;4161;2681;5681;3093;9198;17180;9154;16475;;;873;1233;;1567;300;1485;;1235;355;673;;;;136;;;;351;799;;490;138;2626;3876;1013;1326;;;;;;;;131;;244;71;134;;;;76;;;241;750;;;8;10;;;;;;;;;;;;;;;;;;;74;;3804;;4906;;;;;;;;;;;0;;484
229;Rottal-Inn;909;172941;173632;172941;173632;142709;133885;142709;133885;639;1438;383;639;142070;132447;142326;133246;9947;15794;10899;19108;;;;;7688;10188;7841;9495;2625;10210;4270;12904;32885;16808;37107;16384;49582;46493;54710;45687;4167;1912;4990;2487;32668;22158;14997;19910;;;821;1228;;2385;368;1764;;1106;381;675;;;;183;;;;300;897;;463;156;1611;2647;870;1157;;;;;;;;115;;;62;56;;;;47;;2746;308;1044;;;15;12;;;;;;;;;;;;;;;;;;;73;;;;4151;;;;;;;;;;;0;;534
230;Straubing;909;172522;173772;172522;173772;141540;132955;141540;132955;597;877;416;712;140943;132078;141124;132243;11132;16312;11310;19938;;;;;7241;8613;7466;8964;2715;6895;4279;11603;36673;16794;39114;17402;65291;58487;55428;46742;4394;1936;4934;2468;11139;15115;11136;17869;;;886;1214;;1503;314;1397;;1506;366;892;;570;;275;;;;250;;;355;123;1877;2467;903;1271;;;;;;;;104;;;50;70;;;;41;;1294;293;958;;;17;6;;;;;;;;;;;;;;;;;481;;130;;;;4143;;;;;;;;;;;586;;656
231;Amberg;909;214379;216071;214379;216071;181941;173297;181941;173297;808;1300;615;939;181133;171997;181326;172358;19705;27476;19339;31547;;;;;12177;13908;13966;16191;4698;10213;5971;15067;38359;17822;40014;17958;80626;69278;72672;60430;7316;4158;7980;4095;12883;20855;11333;16332;;;1330;1938;1607;2902;779;2917;;;578;991;;;;253;;;;755;1402;;805;275;1748;3247;794;1298;;;;;;;;221;;;107;121;;;;101;;;344;872;;;32;20;;;;;;;;;;;;;;;;;612;;199;;;;5083;;;;;;;;;;;2138;;976
232;Regensburg;909;250984;248192;250984;248192;212696;198937;212696;198937;729;1225;553;762;211967;197712;212143;198175;27626;32850;23607;34563;;;;;27741;30333;28337;32094;5229;13754;7427;18773;37964;16557;39770;17343;81105;69842;75683;61187;9736;6023;14801;6798;11214;17906;10447;16618;2051;;1411;1884;;2567;531;2526;;2734;731;1485;;;;335;;;;528;2172;;1654;412;1655;2927;858;1419;;;;;;;;178;;;148;196;;;;85;;1745;233;963;;;32;21;;;;;;;;;;;;;;;;;323;;205;;5151;;6268;;;;;;;;;;;474;;767
233;Schwandorf;909;220950;222424;220950;222424;185033;174957;185033;174957;883;1202;522;812;184150;173755;184511;174145;25534;39615;17110;31209;;;;;7516;7934;9173;11179;3432;7341;4927;12650;49695;23142;51973;23508;77717;60924;72445;59430;4914;3043;6052;3394;13591;27381;14478;25114;;;1061;1494;;1846;509;1538;;;423;782;;;;161;;;;368;;;485;181;1231;1747;681;1034;;;;;;;;174;;;78;98;;;;91;;;337;877;;;29;10;;;;;;;;;;;;;;;;;520;;155;;;;4595;;;;;;;;;;;782;;853
