# (c) Die Bundeswahlleiterin, Statistisches Bundesamt (Destatis), 2025;;;;;;;;;;;;;;;
# Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;
# Wahl zum 21. Deutschen Bundestag (23. Februar 2025);;;;;;;;;;;;;;;
# Ergebnisse der repräsentativen Wahlstatistik;;;;;;;;;;;;;;;
# Stimmabgabe nach Geschlecht und Geburtsjahresgruppen in den Ländern;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;
# Die Ergebnisse der Männer beinhalten auch die Ergebnisse der Personen mit dem Geschlechtsmerkmal 'divers' als auch derjenigen ohne Geschlechtseintrag im Geburtenregister.;;;;;;;;;;;;;;;
# Erläuterungen zur Methodik siehe Dokument 'Allgemeine und methodische Hinweise zur repräsentativen Wahlstatistik der Bundestagswahl 2025'.;;;;;;;;;;;;;;;
# Durch Auf- bzw. Abrundungen können sich geringfügige Differenzen ergeben.;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;
Land;Erst-/Zweitstimme;Geschlecht;Geburtsjahresgruppe;Summe;Ungültig;SPD;CDU;GRÜNE;FDP;AfD;CSU;Die Linke;Sonstige;dar. FREIE WÄHLER;dar. BSW
NI;1;Summe;2001-2007;348045;1268;94632;55869;35796;16656;62767;;67519;13538;5321;
NI;1;Summe;1991-2000;634698;2646;155919;124652;90972;22831;126678;;81628;29372;12262;
NI;1;Summe;1981-1990;733443;3820;164075;195147;87392;21996;179901;;52461;28652;13788;
NI;1;Summe;1966-1980;1221715;7202;311612;388167;114903;33301;267172;;60806;38552;21717;
NI;1;Summe;1956-1965;965374;7131;317748;315643;90734;22838;156253;;35114;19914;10641;
NI;1;Summe;<=1955;1138036;14029;425719;478939;67529;30698;88455;;24041;8626;4703;
NI;1;m|d|o;Summe;2463701;15532;662489;783902;204762;75271;522720;;133976;65049;31176;
NI;1;m|d|o;2001-2007;177664;986;43122;35661;15364;10704;42328;;22620;6881;2570;
NI;1;m|d|o;1991-2000;320278;1192;70834;66996;39818;13248;78216;;35218;14755;5990;
NI;1;m|d|o;1981-1990;366606;1795;73240;99744;38705;10930;106022;;23118;13050;5842;
NI;1;m|d|o;1966-1980;608419;3231;138882;202202;46539;15898;158692;;25209;17765;10039;
NI;1;m|d|o;1956-1965;472809;2901;149283;160440;37127;10063;88571;;15648;8776;4799;
NI;1;m|d|o;<=1955;517926;5427;187128;218859;27210;14428;48890;;12163;3821;1935;
NI;1;w;Summe;2577611;20565;807215;774515;282564;73049;358505;;187593;73605;37256;
NI;1;w;2001-2007;170382;283;51511;20209;20433;5952;20438;;44899;6657;2751;
NI;1;w;1991-2000;314420;1454;85085;57656;51154;9583;48462;;46410;14617;6272;
NI;1;w;1981-1990;366837;2024;90834;95402;48687;11066;73879;;29342;15601;7945;
NI;1;w;1966-1980;613297;3971;172729;185965;68364;17403;108480;;35597;20787;11678;
NI;1;w;1956-1965;492565;4231;168465;155203;53607;12775;67682;;19466;11138;5842;
NI;1;w;<=1955;620110;8603;238591;260080;40319;16270;39565;;11878;4805;2768;
NI;2;Summe;Summe;5041312;25976;1153523;1410418;576845;205163;894540;;405519;369328;37628;189376
NI;2;Summe;2001-2007;348045;977;48832;41496;35552;19951;63844;;99698;37694;2730;16945
NI;2;Summe;1991-2000;634698;1510;90218;101166;94975;29477;128645;;110020;78688;6135;37661
NI;2;Summe;1981-1990;733443;2240;109593;168506;105095;30008;185629;;59173;73199;7036;35220
NI;2;Summe;1966-1980;1221715;5155;242105;351837;142808;45459;271000;;68010;95341;11063;50057
NI;2;Summe;1956-1965;965374;4880;273272;293710;112390;32480;156067;;38952;53624;7624;30547
NI;2;Summe;<=1955;1138036;11214;389503;453702;86025;47789;89355;;29667;30782;3040;18946
NI;2;m|d|o;Summe;2463701;10904;509122;712293;257088;113053;538227;;162572;160441;18400;83042
