# (c) Der Bundeswahlleiter, Statistisches Bundesamt (Destatis), 2022;;;;;
# Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;
# ;;;;;
# Wahl zum 20. Deutschen Bundestag (26. September 2021);;;;;
# Ergebnisse der repräsentativen Wahlstatistik;;;;;
# Art der ungültigen Stimmen nach Geschlecht in den Ländern;;;;;
# ;;;;;
# Die Ergebnisse der Männer beinhalten auch die Ergebnisse der Personen mit dem Geschlechtsmerkmal 'divers' als auch derjenigen ohne Geschlechtseintrag im Geburtenregister.;;;;;
# Erläuterungen zur Methodik siehe Dokument 'Allgemeine und methodische Hinweise zur repräsentativen Wahlstatistik der Bundestagswahl 2021'.;;;;;
# Durch Auf- bzw. Abrundungen können sich in der Endsumme geringfügige Abweichungen ergeben.;;;;;
# ;;;;;
Land;Ungültige Erst-/Zweitstimme;Ungültigkeitsgrund;Summe;m;w
SL;Beide;Summe;7448;3749;3699
SL;Beide;Erst- und Zweitstimmenseite leer oder durchgestrichen;2546;1072;1473
SL;Beide;Erststimmenseite leer oder durchgestrichen, Zweitstimmenseite mehrere Kreuze;241;79;162
SL;Beide;Erststimmenseite mehrere Kreuze, Zweitstimmenseite leer oder durchgestrichen;525;176;349
SL;Beide;Beide Seiten mehrere Kreuze;2520;1418;1102
SL;Beide;Eine Seite leer oder durchgestrichen, andere Seite sonstige Ursachen;227;227;0
SL;Beide;Beide Seiten sonstige Ursachen;1390;777;613
SL;1;Summe;3402;1619;1783
SL;1;Erststimmenseite leer oder durchgestrichen;2686;1207;1480
SL;1;Erststimmenseite mehrere Kreuze;511;272;238
SL;1;Sonstige Ursachen;205;140;65
SL;2;Summe;2847;1247;1600
SL;2;Zweitstimmenseite leer oder durchgestrichen;2356;986;1370
SL;2;Zweitstimmenseite mehrere Kreuze;347;188;159
SL;2;Sonstige Ursachen;144;73;71
BE;Summe;Ungültige Erststimmen;31631;13347;18284
BE;Summe;Ungültige Zweitstimmen;30322;12452;17870
BE;Beide;Summe;15773;6673;9100
BE;Beide;Erst- und Zweitstimmenseite leer oder durchgestrichen;10149;4438;5711
BE;Beide;Erststimmenseite leer oder durchgestrichen, Zweitstimmenseite mehrere Kreuze;1465;394;1071
BE;Beide;Erststimmenseite mehrere Kreuze, Zweitstimmenseite leer oder durchgestrichen;1099;478;621
BE;Beide;Beide Seiten mehrere Kreuze;2821;1214;1607
BE;Beide;Eine Seite leer oder durchgestrichen, andere Seite sonstige Ursachen;28;28;0
BE;Beide;Beide Seiten sonstige Ursachen;211;121;90
BE;1;Summe;15858;6673;9185
BE;1;Erststimmenseite leer oder durchgestrichen;15295;6516;8779
BE;1;Erststimmenseite mehrere Kreuze;564;158;406
BE;1;Sonstige Ursachen;0;0;0
BE;2;Summe;14549;5779;8770
BE;2;Zweitstimmenseite leer oder durchgestrichen;13085;5433;7652
BE;2;Zweitstimmenseite mehrere Kreuze;1464;345;1119
BE;2;Sonstige Ursachen;0;0;0
BE-O;Summe;Ungültige Erststimmen;12339;5048;7291
BE-O;Summe;Ungültige Zweitstimmen;12293;4786;7507
BE-O;Beide;Summe;6570;2579;3991
BE-O;Beide;Erst- und Zweitstimmenseite leer oder durchgestrichen;4273;1671;2602
BE-O;Beide;Erststimmenseite leer oder durchgestrichen, Zweitstimmenseite mehrere Kreuze;433;89;344
BE-O;Beide;Erststimmenseite mehrere Kreuze, Zweitstimmenseite leer oder durchgestrichen;424;172;252
BE-O;Beide;Beide Seiten mehrere Kreuze;1201;498;703
BE-O;Beide;Eine Seite leer oder durchgestrichen, andere Seite sonstige Ursachen;28;28;0
BE-O;Beide;Beide Seiten sonstige Ursachen;211;121;90
BE-O;1;Summe;5769;2470;3300
BE-O;1;Erststimmenseite leer oder durchgestrichen;5478;2348;3130
BE-O;1;Erststimmenseite mehrere Kreuze;291;122;169
BE-O;1;Sonstige Ursachen;0;0;0
BE-O;2;Summe;5723;2208;3515
BE-O;2;Zweitstimmenseite leer oder durchgestrichen;5006;2073;2933
BE-O;2;Zweitstimmenseite mehrere Kreuze;718;135;583
BE-O;2;Sonstige Ursachen;0;0;0
BE-W;Summe;Ungültige Erststimmen;19292;8298;10994
BE-W;Summe;Ungültige Zweitstimmen;18029;7666;10363
BE-W;Beide;Summe;9203;4095;5109
BE-W;Beide;Erst- und Zweitstimmenseite leer oder durchgestrichen;5876;2767;3109
BE-W;Beide;Erststimmenseite leer oder durchgestrichen, Zweitstimmenseite mehrere Kreuze;1032;305;727
BE-W;Beide;Erststimmenseite mehrere Kreuze, Zweitstimmenseite leer oder durchgestrichen;676;307;369
BE-W;Beide;Beide Seiten mehrere Kreuze;1620;716;904
BE-W;Beide;Eine Seite leer oder durchgestrichen, andere Seite sonstige Ursachen;0;0;0
BE-W;Beide;Beide Seiten sonstige Ursachen;0;0;0
BE-W;1;Summe;10089;4204;5885
BE-W;1;Erststimmenseite leer oder durchgestrichen;9816;4168;5648
BE-W;1;Erststimmenseite mehrere Kreuze;273;36;237
BE-W;1;Sonstige Ursachen;0;0;0
BE-W;2;Summe;8826;3571;5255
BE-W;2;Zweitstimmenseite leer oder durchgestrichen;8079;3360;4719
BE-W;2;Zweitstimmenseite mehrere Kreuze;747;210;536
BE-W;2;Sonstige Ursachen;0;0;0
BB;Summe;Ungültige Erststimmen;21706;9228;12478
BB;Summe;Ungültige Zweitstimmen;19821;8603;11218
BB;Beide;Summe;15774;6944;8830
BB;Beide;Erst- und Zweitstimmenseite leer oder durchgestrichen;7841;3729;4112
BB;Beide;Erststimmenseite leer oder durchgestrichen, Zweitstimmenseite mehrere Kreuze;1569;648;921
BB;Beide;Erststimmenseite mehrere Kreuze, Zweitstimmenseite leer oder durchgestrichen;2012;673;1339
BB;Beide;Beide Seiten mehrere Kreuze;3840;1578;2262
BB;Beide;Eine Seite leer oder durchgestrichen, andere Seite sonstige Ursachen;43;43;0
BB;Beide;Beide Seiten sonstige Ursachen;469;273;196
BB;1;Summe;5932;2284;3648
BB;1;Erststimmenseite leer oder durchgestrichen;4721;1860;2860
BB;1;Erststimmenseite mehrere Kreuze;1113;402;712
BB;1;Sonstige Ursachen;98;22;76
BB;2;Summe;4047;1659;2388
BB;2;Zweitstimmenseite leer oder durchgestrichen;2756;1068;1688
BB;2;Zweitstimmenseite mehrere Kreuze;1240;591;649
BB;2;Sonstige Ursachen;50;0;50
MV;Summe;Ungültige Erststimmen;16954;7189;9765
MV;Summe;Ungültige Zweitstimmen;16181;6683;9498
MV;Beide;Summe;10520;4664;5856
MV;Beide;Erst- und Zweitstimmenseite leer oder durchgestrichen;4861;2101;2760
MV;Beide;Erststimmenseite leer oder durchgestrichen, Zweitstimmenseite mehrere Kreuze;940;311;629
MV;Beide;Erststimmenseite mehrere Kreuze, Zweitstimmenseite leer oder durchgestrichen;1162;504;659
MV;Beide;Beide Seiten mehrere Kreuze;2349;1129;1220
MV;Beide;Eine Seite leer oder durchgestrichen, andere Seite sonstige Ursachen;33;33;0
MV;Beide;Beide Seiten sonstige Ursachen;1175;588;588
MV;1;Summe;6434;2525;3909
MV;1;Erststimmenseite leer oder durchgestrichen;5887;2225;3662
MV;1;Erststimmenseite mehrere Kreuze;433;231;202
MV;1;Sonstige Ursachen;114;69;46
MV;2;Summe;5661;2019;3643
MV;2;Zweitstimmenseite leer oder durchgestrichen;5380;1887;3492
MV;2;Zweitstimmenseite mehrere Kreuze;240;108;132
MV;2;Sonstige Ursachen;41;23;18
SN;Summe;Ungültige Erststimmen;29375;12396;16979
SN;Summe;Ungültige Zweitstimmen;26057;10538;15519
SN;Beide;Summe;19839;8378;11461
SN;Beide;Erst- und Zweitstimmenseite leer oder durchgestrichen;6547;2678;3869
SN;Beide;Erststimmenseite leer oder durchgestrichen, Zweitstimmenseite mehrere Kreuze;2084;1005;1079
SN;Beide;Erststimmenseite mehrere Kreuze, Zweitstimmenseite leer oder durchgestrichen;1213;370;842
SN;Beide;Beide Seiten mehrere Kreuze;5226;2274;2951
SN;Beide;Eine Seite leer oder durchgestrichen, andere Seite sonstige Ursachen;301;141;159
SN;Beide;Beide Seiten sonstige Ursachen;4469;1909;2560
SN;1;Summe;9536;4018;5518
SN;1;Erststimmenseite leer oder durchgestrichen;7206;3045;4162
SN;1;Erststimmenseite mehrere Kreuze;1501;560;941
SN;1;Sonstige Ursachen;828;413;416
SN;2;Summe;6218;2160;4058
SN;2;Zweitstimmenseite leer oder durchgestrichen;4621;1556;3065
SN;2;Zweitstimmenseite mehrere Kreuze;1347;509;838
SN;2;Sonstige Ursachen;250;96;154
ST;Summe;Ungültige Erststimmen;14583;6492;8091
ST;Summe;Ungültige Zweitstimmen;12821;5332;7489
ST;Beide;Summe;10379;4460;5918
ST;Beide;Erst- und Zweitstimmenseite leer oder durchgestrichen;5322;2213;3110
ST;Beide;Erststimmenseite leer oder durchgestrichen, Zweitstimmenseite mehrere Kreuze;731;249;481
ST;Beide;Erststimmenseite mehrere Kreuze, Zweitstimmenseite leer oder durchgestrichen;819;388;430
ST;Beide;Beide Seiten mehrere Kreuze;2781;1171;1610
ST;Beide;Eine Seite leer oder durchgestrichen, andere Seite sonstige Ursachen;183;52;131
ST;Beide;Beide Seiten sonstige Ursachen;543;387;156
ST;1;Summe;4204;2032;2173
ST;1;Erststimmenseite leer oder durchgestrichen;3483;1740;1743
ST;1;Erststimmenseite mehrere Kreuze;548;249;300
ST;1;Sonstige Ursachen;173;43;130
ST;2;Summe;2442;872;1571
ST;2;Zweitstimmenseite leer oder durchgestrichen;1393;458;934
ST;2;Zweitstimmenseite mehrere Kreuze;945;364;581
ST;2;Sonstige Ursachen;105;49;55
TH;Summe;Ungültige Erststimmen;16639;6686;9953
TH;Summe;Ungültige Zweitstimmen;14809;5755;9054
TH;Beide;Summe;11850;4762;7088
TH;Beide;Erst- und Zweitstimmenseite leer oder durchgestrichen;5841;2544;3297
TH;Beide;Erststimmenseite leer oder durchgestrichen, Zweitstimmenseite mehrere Kreuze;1344;468;875
TH;Beide;Erststimmenseite mehrere Kreuze, Zweitstimmenseite leer oder durchgestrichen;1010;330;680
TH;Beide;Beide Seiten mehrere Kreuze;2952;1126;1826
TH;Beide;Eine Seite leer oder durchgestrichen, andere Seite sonstige Ursachen;162;35;127
TH;Beide;Beide Seiten sonstige Ursachen;542;259;283
TH;1;Summe;4789;1924;2865
TH;1;Erststimmenseite leer oder durchgestrichen;3713;1612;2101
TH;1;Erststimmenseite mehrere Kreuze;1010;282;728
TH;1;Sonstige Ursachen;66;29;36
TH;2;Summe;2959;993;1966
TH;2;Zweitstimmenseite leer oder durchgestrichen;1682;520;1163
TH;2;Zweitstimmenseite mehrere Kreuze;1223;460;763
TH;2;Sonstige Ursachen;54;13;41
