# (c) Der Bundeswahlleiter, Statistisches Bundesamt (Destatis), 2022;;;;;;;;;;;;;;;;
# Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;
# Wahl zum 20. Deutschen Bundestag (26. September 2021);;;;;;;;;;;;;;;;
# Ergebnisse der repräsentativen Wahlstatistik;;;;;;;;;;;;;;;;
# Stimmabgabe nach Urnen- und Briefwahlbezirken, Geschlecht und Geburtsjahresgruppen im Bundesgebiet;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;
# Die Ergebnisse der Männer beinhalten auch die Ergebnisse der Personen mit dem Geschlechtsmerkmal 'divers' als auch derjenigen ohne Geschlechtseintrag im Geburtenregister.;;;;;;;;;;;;;;;;
# Erläuterungen zur Methodik siehe Dokument 'Allgemeine und methodische Hinweise zur repräsentativen Wahlstatistik der Bundestagswahl 2021'.;;;;;;;;;;;;;;;;
# Durch Auf- bzw. Abrundungen können sich in der Endsumme geringfügige Abweichungen ergeben.;;;;;;;;;;;;;;;;
# Für die Ergebnisse der Urnen- und Briefwahlbezirke wurde eine separate Hochrechnung durchgeführt. Die Summen der einzelnen Merkmalsgruppen aus beiden Bezirksarten weichen daher geringfügig von den anderen Ergebnissen der repräsentativen Wahlstatistik ab.;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;
Land;Erst-/Zweitstimme;Bezirksart;Geschlecht;Geburtsjahresgruppe;Summe;Ungültig;CDU;SPD;AfD;FDP;DIE LINKE;GRÜNE;CSU;Sonstige;dar. FREIE WÄHLER;dar. dieBasis
Bund;2;Summe;w;1951 und früher;5434950;93126;1695920;1839182;240335;399898;183276;356464;422875;203874;76501;32684
Bund;2;Urne;Summe;Summe;24708172;292349;4637821;6256699;3320958;2785354;1283006;3176179;863042;2092764;449333;375325
Bund;2;Urne;Summe;1997 - 2003;2022417;12941;163220;321237;161211;433802;172227;421259;31802;304719;37046;23415
Bund;2;Urne;Summe;1987 - 1996;3101269;22945;333552;547117;425786;460997;212857;573867;65551;458595;74514;57178
Bund;2;Urne;Summe;1977 - 1986;3717912;29294;557108;714816;666437;447089;184794;581336;107766;429273;92392;86808
Bund;2;Urne;Summe;1962 - 1976;7003265;59686;1271938;1762307;1116097;755146;307430;930508;242324;557829;139982;132006
Bund;2;Urne;Summe;1952 - 1961;4232095;57157;892300;1317657;600873;356312;215379;410826;165160;216431;65475;52031
Bund;2;Urne;Summe;1951 und früher;4631214;110326;1419705;1593565;350554;332008;190318;258383;250440;125916;39923;23886
Bund;2;Urne;m;Summe;12589715;122722;2274633;3016488;2058074;1556086;672823;1481607;447998;959283;217605;152896
Bund;2;Urne;m;1997 - 2003;1091012;5773;86719;160787;100397;287494;79475;196099;19133;155135;21066;11318
Bund;2;Urne;m;1987 - 1996;1642389;10909;170023;264410;258747;281473;119158;273654;35885;228130;38634;24944
Bund;2;Urne;m;1977 - 1986;1891787;13179;273499;331007;411623;244319;99521;264351;55010;199278;43841;35999
Bund;2;Urne;m;1962 - 1976;3645417;26089;670927;866504;709978;403575;160320;432929;132858;242237;67597;53584
Bund;2;Urne;m;1952 - 1961;2150917;25016;436891;654981;365255;182437;114702;199728;83040;88867;30711;19358
Bund;2;Urne;m;1951 und früher;2168193;41755;636574;738799;212075;156789;99647;114846;122071;45636;15756;7692
Bund;2;Urne;w;Summe;12118457;169627;2363188;3240211;1262884;1229268;610183;1694572;415044;1133481;231728;222429
Bund;2;Urne;w;1997 - 2003;931405;7168;76501;160450;60814;146308;92751;225160;12668;149584;15980;12097
Bund;2;Urne;w;1987 - 1996;1458879;12036;163528;282707;167039;179524;93699;300214;29666;230465;35880;32235
Bund;2;Urne;w;1977 - 1986;1826126;16114;283608;383810;254814;202770;85274;316985;52755;229995;48551;50809
Bund;2;Urne;w;1962 - 1976;3357848;33597;601011;895803;406119;351572;147110;497578;109466;315592;72385;78422
Bund;2;Urne;w;1952 - 1961;2081177;32140;455409;662675;235619;173875;100677;211098;82120;127564;34765;32672
Bund;2;Urne;w;1951 und früher;2463021;68571;783130;854766;138479;175219;90671;143537;128368;80280;24167;16194
Bund;2;Brief;Summe;Summe;22146336;120136;4137650;5698735;1482944;2534598;987900;3676027;1539785;1968561;678451;254828
Bund;2;Brief;Summe;1997 - 2003;1514600;6020;127482;228604;62163;287291;101803;422184;57645;221408;48924;15684
Bund;2;Brief;Summe;1987 - 1996;2945447;11877;281955;495499;172602;434272;190867;810654;132518;415203;113270;36040
Bund;2;Brief;Summe;1977 - 1986;2735071;12058;372812;520682;236460;351003;124368;610347;161234;346107;114948;46746
