# (c) Der Bundeswahlleiter, Wiesbaden 2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Wahl zum 19. Deutschen Bundestag (24. September 2017);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Endgültige Ergebnisse der Erst- und Zweitstimmen nach Bezirksart und Ländern;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr;Land;Stimmenart;Bezirksart;Wahlberechtigte;Wähler;ungültig;gültig;CDU;SPD;DIE LINKE;GRÜNE;CSU;FDP;AfD;PIRATEN;NPD;FREIE WÄHLER;Tierschutzpartei;ÖDP;Die PARTEI;BP;Volksabstimmung;PDV;MLPD;BüSo;SGP;DIE RECHTE;AD-DEMOKRATEN;Tierschutzallianz;B*;BGE;DiB;DKP;DM;Die Grauen;du.;MG;MENSCHLICHE WELT;Die Humanisten;Gesundheitsforschung;V-Partei³;Bündnis C;DIE EINHEIT;DIE VIOLETTEN;FAMILIE;DIE FRAUEN;MIETERPARTEI;Neue Liberale;UNABHÄNGIGE;Übrige
9;Bayern;E;Brief;;2773317;19688;2753629;;474747;122201;255574;1254896;196501;248797;3370;148;104521;;48538;5455;26797;;;673;748;;;;;;;;;;;;;;;;;151;;370;;;;;1376;8766
9;Bayern;Z;Zusammen;9522371;7441006;47796;7393210;;1130931;450803;722116;2869688;751248;916300;26866;20611;199198;66218;66801;51607;58037;;;2213;1284;;;;;;10394;12073;1213;12689;;;;;;9529;13391;;;;;;;;;
9;Bayern;Z;Urne;9522371;4667689;37741;4629948;;734764;306727;452559;1740297;450739;620430;18264;13312;109508;38911;39659;34050;33919;;;1559;868;;;;;;5586;6758;793;8289;;;;;;5517;7439;;;;;;;;;
9;Bayern;Z;Brief;;2773317;10055;2763262;;396167;144076;269557;1129391;300509;295870;8602;7299;89690;27307;27142;17557;24118;;;654;416;;;;;;4808;5315;420;4400;;;;;;4012;5952;;;;;;;;;
8;Baden-Württemberg;E;Zusammen;7732597;6053943;70712;5983231;2350054;1166668;325019;801880;;517512;690128;11340;2056;33732;20756;18341;26508;;;;7045;199;;1142;;2012;;;;;;;;;652;;;;406;;;;;;;;7781
8;Baden-Württemberg;E;Urne;7732597;4409569;57962;4351607;1686867;864676;246329;554742;;367159;539258;8502;1611;23392;14360;12823;18419;;;;5486;128;;828;;1422;;;;;;;;;455;;;;235;;;;;;;;4915
8;Baden-Württemberg;E;Brief;;1644374;12750;1631624;663187;301992;78690;247138;;150353;150870;2838;445;10340;6396;5518;8089;;;;1559;71;;314;;590;;;;;;;;;197;;;;171;;;;;;;;2866
8;Baden-Württemberg;Z;Zusammen;7732597;6053943;60975;5992968;2061687;982370;380727;807205;;762008;730499;27205;15745;42133;51355;21813;43883;;;;4276;;;2054;;13506;;10647;9241;1006;10395;;;;7612;;;7601;;;;;;;;;
8;Baden-Württemberg;Z;Urne;7732597;4409569;53074;4356495;1464974;732005;287271;567554;;538591;569884;21132;12578;29787;36680;15510;33000;;;;3484;;;1606;;10406;;6757;6242;712;7945;;;;5344;;;5033;;;;;;;;;
8;Baden-Württemberg;Z;Brief;;1644374;7901;1636473;596713;250365;93456;239651;;223417;160615;6073;3167;12346;14675;6303;10883;;;;792;;;448;;3100;;3890;2999;294;2450;;;;2268;;;2568;;;;;;;;;
